".model",".strategy_names","markov_cycle","state_names","count"
"standard","standard",33,"SuccessfulPrimary",110.07441755537
"standard","standard",34,"SuccessfulPrimary",92.6814675405173
"standard","standard",35,"SuccessfulPrimary",78.0326788191359
"standard","standard",36,"SuccessfulPrimary",65.6958005885964
"standard","standard",37,"SuccessfulPrimary",55.3065457960254
"standard","standard",38,"SuccessfulPrimary",46.5579266690621
"standard","standard",39,"SuccessfulPrimary",39.1912597875769
"standard","standard",40,"SuccessfulPrimary",32.9885800314791
"standard","standard",41,"SuccessfulPrimary",27.7662433055083
"standard","standard",42,"SuccessfulPrimary",23.369532220069
"standard","standard",43,"SuccessfulPrimary",19.6681078672187
"standard","standard",44,"SuccessfulPrimary",16.55217529388
"standard","standard",45,"SuccessfulPrimary",13.9292509353759
"standard","standard",46,"SuccessfulPrimary",11.7214377197969
"standard","standard",47,"SuccessfulPrimary",9.86312828531987
"standard","standard",48,"SuccessfulPrimary",8.29906918950189
"standard","standard",49,"SuccessfulPrimary",6.98272948790598
"standard","standard",50,"SuccessfulPrimary",5.87492592028353
"standard","new",1,"SuccessfulPrimary",0
"standard","new",2,"SuccessfulPrimary",980
"standard","new",3,"SuccessfulPrimary",973.231446317551
"standard","new",4,"SuccessfulPrimary",966.456413862376
"standard","new",5,"SuccessfulPrimary",959.686650028411
"standard","new",6,"SuccessfulPrimary",940.83683256081
"standard","new",7,"SuccessfulPrimary",922.326566595924
"standard","new",8,"SuccessfulPrimary",904.15326742332
"standard","new",9,"SuccessfulPrimary",886.313545575936
"standard","new",10,"SuccessfulPrimary",868.803493509674
"standard","new",11,"SuccessfulPrimary",851.618857589998
"standard","new",12,"SuccessfulPrimary",834.755148683954
"standard","new",13,"SuccessfulPrimary",818.207717058816
"standard","new",14,"SuccessfulPrimary",801.971805178942
"standard","new",15,"SuccessfulPrimary",786.042586117362
"standard","new",16,"SuccessfulPrimary",743.532535772766
"standard","new",17,"SuccessfulPrimary",703.308204459458
"standard","new",18,"SuccessfulPrimary",665.247849487089
"standard","new",19,"SuccessfulPrimary",629.236087495142
"standard","new",20,"SuccessfulPrimary",595.163579794947
"standard","new",21,"SuccessfulPrimary",562.926730076337
"standard","new",22,"SuccessfulPrimary",532.427394744012
"standard","new",23,"SuccessfulPrimary",503.572605905176
"standard","new",24,"SuccessfulPrimary",476.274306865168
"standard","new",25,"SuccessfulPrimary",450.449099876453
"standard","new",26,"SuccessfulPrimary",380.387511994332
"standard","new",27,"SuccessfulPrimary",321.217972339682
"standard","new",28,"SuccessfulPrimary",271.248051641475
"standard","new",29,"SuccessfulPrimary",229.048136371821
"standard","new",30,"SuccessfulPrimary",193.410644805866
"standard","new",31,"SuccessfulPrimary",163.315566664139
"standard","new",32,"SuccessfulPrimary",137.901346884436
"standard","new",33,"SuccessfulPrimary",116.440285569698
"standard","new",34,"SuccessfulPrimary",98.3177542684857
"standard","new",35,"SuccessfulPrimary",83.0146370663134
"standard","new",36,"SuccessfulPrimary",70.0924965483225
"standard","new",37,"SuccessfulPrimary",59.1810421175917
"standard","new",38,"SuccessfulPrimary",49.9675436031263
"standard","new",39,"SuccessfulPrimary",42.1878884157328
"standard","new",40,"SuccessfulPrimary",35.6190272723608
"standard","new",41,"SuccessfulPrimary",30.0725930330087
"standard","new",42,"SuccessfulPrimary",25.3895105978809
"standard","new",43,"SuccessfulPrimary",21.4354440424835
"standard","new",44,"SuccessfulPrimary",18.0969510250333
"standard","new",45,"SuccessfulPrimary",15.2782346606047
"standard","new",46,"SuccessfulPrimary",12.8984000920228
"standard","new",47,"SuccessfulPrimary",10.8891373823278
"standard","new",48,"SuccessfulPrimary",9.19276451665088
"standard","new",49,"SuccessfulPrimary",7.76057457822588
"standard","new",50,"SuccessfulPrimary",6.55143984623548
"standard","standard",1,"RevisionTHR",0
"standard","standard",2,"RevisionTHR",0
"standard","standard",3,"RevisionTHR",0.776802273633983
"standard","standard",4,"RevisionTHR",0.974914004336443
"standard","standard",5,"RevisionTHR",1.15801993244989
"standard","standard",6,"RevisionTHR",1.32115077017557
"standard","standard",7,"RevisionTHR",1.45307489075993
"standard","standard",8,"RevisionTHR",1.57339354250839
"standard","standard",9,"RevisionTHR",1.68397987780722
"standard","standard",10,"RevisionTHR",1.78650267306055
"standard","standard",11,"RevisionTHR",1.88211458679368
"standard","standard",12,"RevisionTHR",1.97166103089759
"standard","standard",13,"RevisionTHR",2.05578376670829
"standard","standard",14,"RevisionTHR",2.13498448047059
"standard","standard",15,"RevisionTHR",2.20966527824334
